Region,GOVERNORATE,CODE GOUV,DELEGATION,CODE DELEG,SECTOR,CODE SECTOR,Block,CODE BLOCK,Area,pop_block,Lodging,Cumulative population
Grand Tunis,Tunis,11,Bab El Bhar,1153,TAÏEB EL M'HIRI,115356,Taïeb El M'hiri 3,1153563,Urban,406.5,193,68089.1666666666
Grand Tunis,Tunis,11,Bab El Bhar,1153,HÉDI CHAKER,115357,Hédi Chaker 6,1153576,Urban,408.681818181818,162.409090909091,70947.7575757576
Grand Tunis,Tunis,11,Bab El Bhar,1153,HÉDI CHAKER,115357,Hédi Chaker 7,1153577,Urban,408.681818181818,162.409090909091,71356.4393939394
Grand Tunis,Tunis,11,Bab El Bhar,1153,HÉDI CHAKER,115357,Hédi Chaker 13,11535713,Urban,408.681818181818,162.409090909091,73808.5303030303
Grand Tunis,Tunis,11,Bab El Bhar,1153,SIDI EL BAHRI,115358,Sidi El Bahri 1,1153581,Urban,394.454545454545,158.545454545455,77881.1212121213
Grand Tunis,Tunis,11,Bab El Bhar,1153,SIDI EL BAHRI,115358,Sidi El Bahri 2,1153582,Urban,394.454545454545,158.545454545455,78275.5757575758
Grand Tunis,Tunis,11,Bab El Bhar,1153,SIDI EL BAHRI,115358,Sidi El Bahri 4,1153584,Urban,394.454545454545,158.545454545455,79064.4848484849
Grand Tunis,Tunis,11,Bab El Bhar,1153,SIDI EL BAHRI,115358,Sidi El Bahri 6,1153586,Urban,394.454545454545,158.545454545455,79853.393939394
Grand Tunis,Tunis,11,Bab Souika,1154,TRONJA,115451,Tronja 5,1154515,Urban,388.625,142.875,83768.7916666667
Grand Tunis,Tunis,11,Bab Souika,1154,TRONJA,115451,Tronja 6,1154516,Urban,388.625,142.875,84157.4166666667
Grand Tunis,Tunis,11,Bab Souika,1154,BAB EL KHADRA,115452,Bab El Khadra 1,1154521,Urban,382.727272727273,134.090909090909,85317.393939394
Grand Tunis,Tunis,11,Bab Souika,1154,BAB EL KHADRA,115452,Bab El Khadra 4,1154524,Urban,382.727272727273,134.090909090909,86465.5757575759
Grand Tunis,Tunis,11,Bab Souika,1154,BAB EL KHADRA,115452,Bab El Khadra 6,1154526,Urban,382.727272727273,134.090909090909,87231.0303030304
Grand Tunis,Tunis,11,Bab Souika,1154,BAB EL KHADRA,115452,Bab El Khadra 7,1154527,Urban,382.727272727273,134.090909090909,87613.7575757577
Grand Tunis,Tunis,11,Bab Souika,1154,BAB EL KHADRA,115452,Bab El Khadra 8,1154528,Urban,382.727272727273,134.090909090909,87996.484848485
